,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p90_normal_seed_1
alphablend_0p10_normal,0.9901072353124618,0.9895420551300049,0.9896809160709381,0.988491439819336,0.9864243716001511,0.9852849781513214,0.9787763953208923,0.9548532664775848,0.6179182149469853
alphablend_0p20_normal,0.9891790360212326,0.9888703495264053,0.9886666625738144,0.9874900132417679,0.9845571696758271,0.9835633724927902,0.979392585158348,0.9357812687754631,0.59381904900074
alphablend_0p30_normal,0.9887250423431396,0.9880745381116867,0.9880998581647873,0.9867106854915619,0.9859653025865555,0.9850874841213226,0.979054307937622,0.939857617020607,0.5940696284174919
alphablend_0p40_normal,0.9856805384159089,0.985053101181984,0.9859429806470871,0.9858045846223831,0.9859255880117417,0.9845419377088547,0.9788798213005065,0.9288978859782219,0.5441513642668724
alphablend_0p50_normal,0.9627949476242066,0.9638453781604767,0.9649756222963333,0.9810120671987533,0.9810498476028442,0.9814380645751953,0.9758829414844513,0.950180646777153,0.5831034630537033
alphablend_0p60_normal,0.6628302443772555,0.6633364964276552,0.7436362907290459,0.9704187542200089,0.9721900790929794,0.9763442367315293,0.9697712123394012,0.923423808813095,0.5787704348564148
alphablend_0p70_normal,0.16166456658393144,0.12998176012188195,0.23910579937510193,0.7474396325647831,0.7094096586108207,0.9326035976409912,0.9635600984096527,0.9394237458705902,0.5751618213951588
alphablend_0p80_normal,0.010059737833944381,0.001712136970309075,0.006002133934816811,0.1958611930895131,0.13284978580195456,0.5679501130245626,0.8671466261148453,0.8439378887414932,0.5620773389935494
alphablend_0p90_normal,0.0,1.6069419507402928e-05,0.0,0.00015120967291295528,0.0006498470902442932,0.010139606916345656,0.2317717386293225,0.4146428043022752,0.5102604276500642
