dataset,architecture,perturbation,mean_dice,n_seeds
Left atrium (heart MRI),U-Net++,Unperturbed,0.9254,3
Left atrium (heart MRI),U-Net++,Harder,0.0080,3
Left atrium (heart MRI),U-Net++,Hardest,0.0002,3
Spleen (CT),NoSkip U-Net,Easiest,0.1054,3
Spleen (CT),NoSkip U-Net,Easier,0.2715,3
Spleen (CT),NoSkip U-Net,Unperturbed,0.6061,3
Spleen (CT),NoSkip U-Net,Harder,0.5619,3
Spleen (CT),NoSkip U-Net,Hardest,0.4344,3
Spleen (CT),NoSkip V-Net,Easiest,0.1411,3
Spleen (CT),NoSkip V-Net,Easier,0.2226,3
Spleen (CT),NoSkip V-Net,Unperturbed,0.7323,3
Spleen (CT),NoSkip V-Net,Harder,0.4145,3
Spleen (CT),NoSkip V-Net,Hardest,0.3150,3
Spleen (CT),U-Net,Easiest,0.0227,3
Spleen (CT),U-Net,Easier,0.1073,3
Spleen (CT),U-Net,Unperturbed,0.7458,3
Spleen (CT),U-Net,Harder,0.0781,3
Spleen (CT),U-Net,Hardest,0.0248,3
Spleen (CT),V-Net,Easiest,0.0005,3
Spleen (CT),V-Net,Easier,0.0821,3
Spleen (CT),V-Net,Unperturbed,0.9252,3
Spleen (CT),V-Net,Harder,0.0568,3
Spleen (CT),V-Net,Hardest,0.0011,3
Spleen (CT),AGU-Net,Easiest,0.0533,3
Spleen (CT),AGU-Net,Easier,0.2994,3
Spleen (CT),AGU-Net,Unperturbed,0.9275,3
Spleen (CT),AGU-Net,Harder,0.3081,3
Spleen (CT),AGU-Net,Hardest,0.2149,3
Spleen (CT),U-Net++,Easiest,0.0104,3
Spleen (CT),U-Net++,Easier,0.0717,3
Spleen (CT),U-Net++,Unperturbed,0.9075,3
Spleen (CT),U-Net++,Harder,0.0000,3
Spleen (CT),U-Net++,Hardest,0.0000,3
