,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p90_normal_seed_1
alphablend_0p10_normal,1.0,1.0,1.0,1.0,1.0,1.0,0.9968427835051547,0.9929284954239905,0.3139947670429973
alphablend_0p20_normal,1.0,1.0,1.0,1.0,1.0,1.0,0.9966740576496674,0.9997349823321555,0.3460885638593353
alphablend_0p30_normal,0.8716903975250292,0.998112709503585,1.0,1.0,1.0,1.0,0.9958083832335329,0.9993397358943577,0.337047340644983
alphablend_0p40_normal,0.5694257442902628,0.9383379296698384,0.9991548442527003,0.9995981630309988,1.0,0.9991901679889507,0.9475058323127614,0.9950059172724826,0.39452050593562615
alphablend_0p50_normal,0.3546313155599955,0.5382649666790764,0.7675737347435766,0.9974393530997304,0.99985935302391,1.0,0.9995568548704622,0.9982138328282038,0.4648498802746584
alphablend_0p60_normal,0.12511815142539603,0.2053697246078016,0.37020225996162454,0.7089469600458844,0.9432381813900703,0.9977387899717982,0.9753359323744529,0.9935753053439637,0.5500289283558077
alphablend_0p70_normal,0.0262880763265085,0.026701704409052073,0.06659701377379212,0.24790222643969564,0.572983172839813,0.9467842267686212,0.9833682496534284,0.9781694471594482,0.5918393716075545
alphablend_0p80_normal,0.001973684210526316,0.0,0.0,0.012444286483622734,0.05903597279607035,0.43350636029274475,0.8404660192653554,0.9323525074828385,0.7050057263982403
alphablend_0p90_normal,0.0,0.0,0.0,0.0,0.0,0.0,0.09120707487930653,0.3334002258796913,0.737239226798877
