,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p90_normal_seed_1
alphablend_0p10_normal,1.0,1.0,1.0,1.0,1.0,0.9858820793837673,1.0,0.2595775406356141,0.07283374140664692
alphablend_0p20_normal,1.0,0.9998230088495574,1.0,1.0,1.0,0.9880288243617743,1.0,0.27666868129127253,0.07309661634246159
alphablend_0p30_normal,1.0,1.0,1.0,1.0,1.0,0.988756236671865,1.0,0.45248533374950134,0.08535108607148614
alphablend_0p40_normal,1.0,0.9999420625724218,1.0,1.0,0.9999173553719007,0.9972274952171029,1.0,0.727643794666369,0.11834564421323428
alphablend_0p50_normal,0.9771987489143876,0.9467090201398374,0.9997540983606557,1.0,1.0,1.0,1.0,0.9796357452377743,0.2676776762181448
alphablend_0p60_normal,0.5544589056493274,0.38310739096083807,0.8514200417886221,0.897211113510987,0.9990277777777777,0.9985846326375574,1.0,1.0,0.6796228455814393
alphablend_0p70_normal,0.15457013217166254,0.12815351459676935,0.30060565429522235,0.2625893259574127,0.7781234762050862,0.9892768344228946,0.9998412698412699,1.0,0.9977418922591026
alphablend_0p80_normal,0.03054529858239945,0.035514582578505344,0.0797519699202838,0.05980694312477726,0.11539443145903513,0.22701900744518794,0.8298601252210949,0.9998505822615853,1.0
alphablend_0p90_normal,0.004374225083136755,0.002453102453102453,0.005305996055383686,0.002454873646209386,0.002453102453102453,0.032970086982276325,0.08072339620350301,0.5764483449815793,0.9911151894386702
