,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p90_normal_seed_1
alphablend_0p10_normal,0.9880701333284378,0.9872378706932068,0.987526935338974,0.9860891580581665,0.9860106229782104,0.981890743970871,0.9702578485012054,0.8051716536283493,0.5238429464399814
alphablend_0p20_normal,0.9874256432056427,0.9865839183330536,0.9871434926986694,0.9861135184764862,0.985162791609764,0.9810143113136292,0.9710719287395477,0.8288836032152176,0.5717371709644794
alphablend_0p30_normal,0.9851529926061631,0.9856609374284744,0.986015260219574,0.984805217385292,0.9849235534667968,0.9798811584711075,0.9710762888193131,0.8336975395679473,0.6511416971683502
alphablend_0p40_normal,0.9801743179559708,0.9819872617721558,0.9832489639520645,0.9822123229503632,0.9828476727008819,0.978262859582901,0.9699698567390442,0.8882291316986084,0.6692936934530735
alphablend_0p50_normal,0.9654005825519562,0.9580677270889282,0.9721414834260941,0.9775619268417358,0.9787714004516601,0.9740306228399277,0.9670318394899369,0.8926730126142501,0.7481724321842194
alphablend_0p60_normal,0.7146213233470917,0.6572060748934746,0.7275932103395462,0.819900569319725,0.8912761270999908,0.9698531687259674,0.962149029970169,0.9204643309116364,0.6901612482964993
alphablend_0p70_normal,0.43133881948888303,0.378090787306428,0.3809714071452618,0.3797136712819338,0.35213630087673664,0.7896503418684006,0.9472017765045166,0.8980527698993683,0.6709665820002556
alphablend_0p80_normal,0.2936670135706663,0.2560566462576389,0.25580935925245285,0.2476878460496664,0.24267843179404736,0.26895268596708777,0.47300190925598146,0.8801996916532516,0.5119076848030091
alphablend_0p90_normal,0.25232663191854954,0.24108121320605277,0.24142139814794064,0.24105018004775047,0.2400274585932493,0.24100321270525454,0.24625912867486477,0.39987707063555716,0.4446023128926754
