,alphablend_0p10_normal_seed_1,alphablend_0p20_normal_seed_1,alphablend_0p30_normal_seed_1,alphablend_0p40_normal_seed_1,alphablend_0p50_normal_seed_1,alphablend_0p60_normal_seed_1,alphablend_0p70_normal_seed_1,alphablend_0p80_normal_seed_1,alphablend_0p90_normal_seed_1
alphablend_0p10_normal,1.0,1.0,1.0,1.0,1.0,0.9982420031310344,0.9954837602176688,0.0971114445898458,0.22112720118575302
alphablend_0p20_normal,1.0,1.0,1.0,1.0,0.9999241274658572,0.9988477830873987,0.9943696387265761,0.09728148879679462,0.17280126790754644
alphablend_0p30_normal,0.9852138033878752,0.9945235318003821,0.9986069640487394,1.0,1.0,0.9979401893695744,0.9916186245639123,0.0984063610532644,0.2050896328562007
alphablend_0p40_normal,0.9267108560637511,0.9754507459417198,0.9748666702406308,1.0,1.0,0.9995602743242747,0.989718436558854,0.1042730019009441,0.20410534670152963
alphablend_0p50_normal,0.7527573949663757,0.8533680344171792,0.5860572474198725,0.96979564917179,0.9994868871151652,0.9997643592906194,0.9928175221208638,0.12908790933405792,0.21980426713231282
alphablend_0p60_normal,0.3033647024160175,0.338872030654366,0.20002726740066948,0.31657173732506944,0.9384559380855363,0.997481183231215,0.9763476101194742,0.2988249539303846,0.20377422838353093
alphablend_0p70_normal,0.1510136462630815,0.1440911961266143,0.07602575219361471,0.058832440778532266,0.1816679750566902,0.6784518441019894,0.9628358512621948,0.8246108085068077,0.25217538888609947
alphablend_0p80_normal,0.07204735380335822,0.058549329133051775,0.02396635323171341,0.010051627356539843,0.012628082829128279,0.039693670733135074,0.22959480722866027,0.7486313875644309,0.16409082815123038
alphablend_0p90_normal,0.05496318781892997,0.04258722936499449,0.008250395013991326,0.0034115466010564166,0.0026773296244784425,0.00345216874015552,0.006112153038207479,0.08729469904137074,0.14729471634973937
